empresa;abertura;data_atendimento;tempo_horas
HDS;2025-02-01 00:11:00;2025-02-03 13:00:00;60,81666666666667
CRE;2025-02-01 00:11:00;2025-02-25 10:30:00;586,3166666666667
HCD;2025-02-01 00:15:00;2025-02-26 13:20:00;613,0833333333334
HCD;2025-02-03 00:00:00;2025-02-03 07:00:00;7,0
HGL;2025-02-01 00:15:00;2025-02-12 09:35:00;273,3333333333333
HCD;2025-02-03 00:00:00;2025-02-03 06:00:00;6,0
HCD;2025-02-01 00:14:00;2025-02-14 13:30:00;325,26666666666665
HGL;2025-02-03 00:00:00;2025-02-03 07:00:00;7,0
CRE;2025-02-01 00:11:00;2025-02-03 10:20:00;58,15
CRE;2025-02-01 00:11:00;2025-02-26 15:10:00;614,9833333333333
HGL;2025-02-01 00:16:00;2025-02-11 08:35:00;248,31666666666666
HGL;2025-02-01 00:17:00;2025-02-18 09:10:00;416,8833333333333
CRE;2025-02-01 00:11:00;2025-02-12 09:30:00;273,31666666666666
HGL;2025-02-01 00:16:00;2025-02-27 10:45:00;634,4833333333333
CRE;2025-02-01 00:11:00;2025-02-28 15:20:00;663,15
HGL;2025-02-03 11:17:00;2025-02-05 08:40:00;45,38333333333333
HCD;2025-02-01 00:13:00;2025-02-14 08:55:00;320,7
CRE;2025-02-01 00:11:00;2025-02-07 09:30:00;153,31666666666666
HGL;2025-02-01 00:17:00;2025-02-14 13:45:00;325,46666666666664
HDS;2025-02-01 00:12:00;2025-03-13 14:16:00;974,0666666666667
HGL;2025-02-01 00:17:00;2025-02-25 08:00:00;583,7166666666667
CRE;2025-02-01 00:11:00;2025-02-14 14:00:00;325,81666666666666
HGL;2025-02-01 00:17:00;2025-02-06 09:00:00;128,71666666666667
CRE;2025-02-01 00:11:00;2025-02-21 08:50:00;488,65
HCD;2025-02-01 00:13:00;2025-02-19 13:10:00;444,95
HGL;2025-02-01 00:16:00;2025-02-26 14:55:00;614,65
CRE;2025-02-01 00:11:00;2025-02-03 15:10:00;62,983333333333334
HCD;2025-02-03 00:00:00;2025-02-03 19:00:00;19,0
HDS;2025-02-03 00:00:00;2025-02-17 08:58:00;344,96666666666664
HDS;2025-02-01 00:12:00;2025-03-01 13:50:00;685,6333333333333
HCD;2025-02-01 00:12:00;2025-02-05 10:30:00;106,3
CRE;2025-02-01 00:11:00;2025-02-03 14:50:00;62,65
HGL;2025-02-01 00:17:00;2025-02-25 09:00:00;584,7166666666667
HGL;2025-02-02 00:00:00;2025-02-04 10:00:00;58,0
CRE;2025-02-01 00:11:00;2025-02-26 10:40:00;610,4833333333333
HGL;2025-02-01 00:15:00;2025-02-25 07:00:00;582,75
HCD;2025-02-01 00:14:00;2025-02-19 08:30:00;440,26666666666665
